radius_um,bend_type,wl_min_um,wl_max_um,n_freq,artifact_path,validation_passed
1.0,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius1.0_bend_typecircular,True
1.0,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius1.0_bend_typeeuler,True
1.25,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius1.25_bend_typecircular,True
1.25,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius1.25_bend_typeeuler,True
1.5,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius1.5_bend_typecircular,True
1.5,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius1.5_bend_typeeuler,True
1.75,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius1.75_bend_typecircular,True
1.75,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius1.75_bend_typeeuler,True
2.0,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius2.0_bend_typecircular,True
2.0,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius2.0_bend_typeeuler,True
2.25,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius2.25_bend_typecircular,True
2.25,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius2.25_bend_typeeuler,True
2.5,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius2.5_bend_typecircular,True
2.5,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius2.5_bend_typeeuler,True
2.75,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius2.75_bend_typecircular,True
2.75,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius2.75_bend_typeeuler,True
3.0,circular,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius3.0_bend_typecircular,True
3.0,euler,1.3,1.4,21,../data/sparams/bend/sweep/bend_radius3.0_bend_typeeuler,True
