gap_um,coupling_length_um,artifact_path,validation_passed
0.15,2.0,../data/sparams/coupler/sweep_2d/coupler_gap0.15_couplinglength2.0,True
0.15,6.0,../data/sparams/coupler/sweep_2d/coupler_gap0.15_couplinglength6.0,True
0.15,10.0,../data/sparams/coupler/sweep_2d/coupler_gap0.15_couplinglength10.0,True
0.15,14.0,../data/sparams/coupler/sweep_2d/coupler_gap0.15_couplinglength14.0,True
0.15,18.0,../data/sparams/coupler/sweep_2d/coupler_gap0.15_couplinglength18.0,True
0.15,22.0,../data/sparams/coupler/sweep_2d/coupler_gap0.15_couplinglength22.0,True
0.15,26.0,../data/sparams/coupler/sweep_2d/coupler_gap0.15_couplinglength26.0,True
0.25,2.0,../data/sparams/coupler/sweep_2d/coupler_gap0.25_couplinglength2.0,True
0.25,6.0,../data/sparams/coupler/sweep_2d/coupler_gap0.25_couplinglength6.0,True
0.25,10.0,../data/sparams/coupler/sweep_2d/coupler_gap0.25_couplinglength10.0,True
0.25,14.0,../data/sparams/coupler/sweep_2d/coupler_gap0.25_couplinglength14.0,True
0.25,18.0,../data/sparams/coupler/sweep_2d/coupler_gap0.25_couplinglength18.0,True
0.25,22.0,../data/sparams/coupler/sweep_2d/coupler_gap0.25_couplinglength22.0,True
0.25,26.0,../data/sparams/coupler/sweep_2d/coupler_gap0.25_couplinglength26.0,True
0.3,2.0,../data/sparams/coupler/sweep_2d/coupler_gap0.3_couplinglength2.0,True
0.3,6.0,../data/sparams/coupler/sweep_2d/coupler_gap0.3_couplinglength6.0,True
0.3,10.0,../data/sparams/coupler/sweep_2d/coupler_gap0.3_couplinglength10.0,True
0.3,14.0,../data/sparams/coupler/sweep_2d/coupler_gap0.3_couplinglength14.0,True
0.3,18.0,../data/sparams/coupler/sweep_2d/coupler_gap0.3_couplinglength18.0,True
0.3,22.0,../data/sparams/coupler/sweep_2d/coupler_gap0.3_couplinglength22.0,True
0.3,26.0,../data/sparams/coupler/sweep_2d/coupler_gap0.3_couplinglength26.0,True
0.35,2.0,../data/sparams/coupler/sweep_2d/coupler_gap0.35_couplinglength2.0,True
0.35,6.0,../data/sparams/coupler/sweep_2d/coupler_gap0.35_couplinglength6.0,True
0.35,10.0,../data/sparams/coupler/sweep_2d/coupler_gap0.35_couplinglength10.0,True
0.35,14.0,../data/sparams/coupler/sweep_2d/coupler_gap0.35_couplinglength14.0,True
0.35,18.0,../data/sparams/coupler/sweep_2d/coupler_gap0.35_couplinglength18.0,True
0.35,22.0,../data/sparams/coupler/sweep_2d/coupler_gap0.35_couplinglength22.0,True
0.35,26.0,../data/sparams/coupler/sweep_2d/coupler_gap0.35_couplinglength26.0,True
