gap_um,coupling_length_um,resolution,artifact_path,validation_passed
0.12,1.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength1.0,True
0.12,2.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength2.0,True
0.12,3.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength3.0,True
0.12,4.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength4.0,True
0.12,5.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength5.0,True
0.12,6.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength6.0,True
0.12,8.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength8.0,True
0.12,10.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength10.0,True
0.12,12.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength12.0,True
0.12,14.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength14.0,True
0.12,16.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength16.0,True
0.12,18.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength18.0,True
0.12,20.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength20.0,True
0.12,22.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength22.0,True
0.12,24.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength24.0,True
0.12,26.0,25,../data/sparams/coupler/sweep_2d/coupler_gap0.12_couplinglength26.0,True
0.1,1.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength1.0,True
0.1,2.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength2.0,True
0.1,3.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength3.0,True
0.1,4.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength4.0,True
0.1,5.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength5.0,True
0.1,6.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength6.0,True
0.1,8.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength8.0,True
0.1,10.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength10.0,True
0.1,12.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength12.0,True
0.1,14.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength14.0,True
0.1,16.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength16.0,True
0.1,18.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength18.0,True
0.1,20.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength20.0,True
0.1,22.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength22.0,True
0.1,24.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength24.0,True
0.1,26.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.1_couplinglength26.0,True
0.08,1.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength1.0,True
0.08,2.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength2.0,True
0.08,3.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength3.0,True
0.08,4.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength4.0,True
0.08,5.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength5.0,True
0.08,6.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength6.0,True
0.08,8.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength8.0,True
0.08,10.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength10.0,True
0.08,12.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength12.0,True
0.08,14.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength14.0,True
0.08,16.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength16.0,True
0.08,18.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength18.0,True
0.08,20.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength20.0,True
0.08,22.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength22.0,True
0.08,24.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength24.0,True
0.08,26.0,50,../data/sparams/coupler/sweep_2d/coupler_gap0.08_couplinglength26.0,True
